Datetime;T_set_Bathroom;T_set_Room3;T_set_Room1;T_set_Room2;T_set_Kitchen;T_set_Dining;T_set_Living;T_m_ext;T_m_water;T_m_ground_post;Irradiation;Occupancy;switch_Bathroom;switch_Room3;switch_Room1;switch_Room2;switch_Kitchen;switch_Dining;switch_Living;T_m_Kitchen;T_m_Dining;T_m_Living;T_m_Room1;T_m_Bathroom;T_m_Room2;T_m_Room3
2021-02-27 03:15:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;2.0;38.66666666666666;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;16.306167627639468;16.02283448372583;15.650194876721116;16.593343808339114;14.850000598332542;17.088121099632588;15.255335268654903
2021-02-27 03:30:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;2.0;47.0;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;16.234115681763853;15.958266548393624;16.003367068915395;16.54300740424071;14.777467273710784;17.16527223750768;15.223877450007365
2021-02-27 03:45:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;2.0;64.0;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;16.173235506813057;15.903042898446074;16.589071260613593;16.499792118870232;14.721649735658673;17.367538483030785;15.229971679911387
2021-02-27 04:00:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;2.0;39.0;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;16.115766429089888;15.851201705822916;16.694799335488767;16.457839244770923;14.67840707360881;17.369203656720288;15.238619275302824
2021-02-27 04:15:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;2.0;36.0;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;16.06069063612415;15.801959935112848;16.737491621989818;16.416496250956925;14.644178616160275;17.347937707828407;15.246073692408913
2021-02-27 04:30:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;2.6666666666666665;35.333333333333336;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;16.010187585758842;15.756916596684675;16.770552748399723;16.37842509894955;14.630215911164271;17.326190945718906;15.258333874044695
2021-02-27 04:45:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;3.0;37.333333333333336;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;15.963426390128234;15.715600114561369;16.835272291452497;16.342761202075963;14.625405168046768;17.32264089147202;15.27462013929869
2021-02-27 05:00:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;3.0;36.66666666666666;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;15.918837631966653;15.676808506411533;16.88074568336617;16.307990071745564;14.621174037592368;17.314325497552147;15.290604265726813
2021-02-27 05:15:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;3.0;40.0;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;15.877129089605944;15.640984918294293;16.97476883339084;16.27483079283752;14.618377716573889;17.331910183268292;15.30966599356691
2021-02-27 05:30:00+00:00;17.0;15.666666666666664;15.666666666666664;15.666666666666664;18.666666666666668;18.666666666666668;16.0;3.333333333333333;49.33333333333334;15;0.0;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;16.436120295019066;16.215173792667656;17.226320233233764;16.247272015506212;14.666842927690993;17.189973047540775;15.33947849514044
2021-02-27 05:45:00+00:00;17.0;15.0;15.0;15.0;20.0;20.0;16.0;4.0;59.0;15;0.0;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;17.145941041788262;16.926797244981742;17.62952451007567;16.22857275142991;14.771098741492835;17.05802530706876;15.391685191480803
2021-02-27 06:00:00+00:00;17.0;15.0;15.0;15.0;20.0;20.0;16.0;4.0;50.66666666666666;15;0.0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;17.67619489960896;17.445106419990623;17.36241562970207;16.215999817768306;14.900803703258077;16.93442849398923;15.427092772487129
2021-02-27 06:15:00+00:00;17.0;15.0;15.0;15.0;20.0;20.0;16.0;4.0;42.66666666666666;15;0.0;1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;17.86757952958095;17.77136051072381;17.10328050438278;16.203328566899188;15.018326048293545;16.81674888236381;15.446061574591681
2021-02-27 06:30:00+00:00;17.0;15.0;15.0;15.0;20.0;20.0;16.0;4.0;44.33333333333334;15;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.895006839634277;17.690868882702887;16.86991558164516;16.188661610719635;15.097471952478884;16.70440634451529;15.450675060257993
2021-02-27 06:45:00+00:00;16.0;15.0;15.0;15.0;20.0;20.0;16.0;4.0;38.0;15;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.846752753369003;17.566245762287394;16.65851669251805;16.171238829019785;15.144703947280732;16.59684590348195;15.4427625220344
2021-02-27 07:00:00+00:00;16.0;15.0;15.0;15.0;17.333333333333332;17.333333333333332;16.0;4.0;40.0;15;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.764260580338032;17.442627862805693;16.46579198554946;16.15083205017197;15.167481287009139;16.493559749205133;15.424023972833027
2021-02-27 07:15:00+00:00;16.0;15.0;15.0;15.0;16.0;16.0;16.0;4.0;36.0;15;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.666691325314616;17.324517821545783;16.289150073142196;16.127453771347803;15.171416305165565;16.394092410357644;15.396017056683604
2021-02-27 07:30:00+00:00;16.0;15.0;15.0;15.0;16.0;16.0;16.0;4.0;34.666666666666664;15;60.66666666666666;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.566025825923077;17.214856187454927;16.129447197209345;16.103856967831007;15.170247769481193;16.30000699141692;15.362840491586155
2021-02-27 07:45:00+00:00;17.333333333333332;15.0;15.0;15.0;16.0;16.0;16.0;4.0;56.33333333333334;15;93.53333333333332;1;1.0;0.0;0.0;0.0;0.0;0.0;1.0;17.476291923964197;17.1436376415125;16.641358408256963;16.08383792220667;16.68711030324664;16.218137026130535;15.422919750486983
2021-02-27 08:00:00+00:00;20.0;15.0;15.0;15.0;16.0;16.0;16.0;4.0;51.66666666666666;15;153.2;1;1.0;0.0;0.0;0.0;0.0;0.0;1.0;17.39861123255912;17.09706092761968;17.019312813952126;16.06699425374859;17.57760735030081;16.14876536445803;15.531550828458819
2021-02-27 08:15:00+00:00;20.0;15.0;15.0;15.0;16.0;16.0;16.0;4.0;47.33333333333334;15;215.8;1;1.0;0.0;0.0;0.0;0.0;0.0;1.0;17.331941533931513;17.065428263247043;17.286950708651716;16.052540897965912;18.057397800557567;16.09086037794623;15.659789911194991
2021-02-27 08:30:00+00:00;18.666666666666668;15.0;15.0;15.0;16.0;16.0;16.0;4.0;52.0;15;262.4;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;17.275794901326208;17.037847156777843;17.603428310092454;16.0383371342719;17.93112539086428;16.043457794334813;15.78181837802947
2021-02-27 08:45:00+00:00;16.0;15.0;15.0;15.0;16.0;16.0;16.0;4.0;63.66666666666666;15;368.13333333333327;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;17.234835794121807;17.016262149325712;18.079235957664764;16.02679634713502;17.61318278443457;16.00894214613021;15.901057719321216
2021-02-27 09:00:00+00:00;16.0;15.0;15.0;15.0;16.0;16.0;16.0;4.666666666666667;56.33333333333334;15;303.6;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;17.199323383967226;16.991270563380567;18.38508077874758;16.01353879888262;17.264046423516845;15.982971326933239;16.007811026429863
